"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-79084","P","Tanner","Tanner Scott","Scott","5.75","4","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-79088","P","Travis","Travis Lakins","Lakins","10.25","4","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-5362","P","Darren","Darren O'Day","O'Day","7.25","4","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-38144","P","Shane","Shane Greene","Greene","6","5","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-85252","P","Jorge","Jorge Guzman","Guzman","0","0","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-85265","P","Taylor","Taylor Widener","Widener","9.666666666666666","3","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-85275","P","Cody","Cody Carroll","Carroll","-7","2","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-12581","P","Brandon","Brandon Kintzler","Kintzler","4.5","4","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-79142","P","Foster","Foster Griffin","Griffin","14","1","5500","CHC@KAN","KAN","CHC","IL","Forearm","","","0"
"47801-79150","P","Josh","Josh Staumont","Staumont","7.8","5","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-21846","P","Chris","Chris Devenski","Devenski","4.5","2","5500","HOU@ARI","HOU","ARI","IL","Arm","","","0"
"47801-79197","P","Chance","Chance Adams","Adams","6.076923076923077","13","5500","CHC@KAN","KAN","CHC","IL","Undisclosed","","","0"
"47801-118123","P","Blake","Blake Taylor","Taylor","11","5","5500","HOU@ARI","HOU","ARI","","","","","0"
"47801-135528","P","Clayton","Clayton Andrews","Andrews","0","0","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-79235","P","Nick","Nick Neidert","Neidert","7","1","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-12675","P","Steve","Steve Cishek","Cishek","2.4","5","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-62871","P","Junior","Junior Guerra","Guerra","4.6","5","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-79259","P","Jake","Jake Faria","Faria","4.4375","16","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-38303","P","Andrew","Andrew Chafin","Chafin","2.4","5","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-38304","P","Archie","Archie Bradley","Bradley","11.666666666666666","3","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-38306","P","Adam","Adam Conley","Conley","3.683333333333333","60","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
